                5000,0,0,x
               15000,1,1,x
               25000,0,1,x
               35000,1,1,x
               45000,0,1,x
               55000,1,1,x
               65000,0,1,x
               75000,1,1,x
               85000,0,1,x
               95000,1,1,x
              105000,0,1,x
              115000,1,1,x
              125000,0,1,x
              135000,1,1,x
              145000,0,1,x
              155000,1,1,x
              165000,0,1,x
              175000,1,1,x
              185000,0,1,x
              195000,1,1,x
              205000,0,1,x
              215000,1,1,x
              225000,0,1,x
              235000,1,1,x
              245000,0,1,x
              255000,1,0,x
              265000,0,0,x
              275000,1,0,x
              285000,0,0,x
              295000,1,0,x
              305000,0,0,x
              315000,1,0,x
              325000,0,0,x
              335000,1,0,x
              345000,0,0,x
              355000,1,0,x
              365000,0,0,x
              375000,1,0,x
              385000,0,0,x
              395000,1,0,x
              405000,0,0,x
              415000,1,0,x
              425000,0,0,x
              435000,1,0,x
              445000,0,0,x
              455000,1,0,x
              465000,0,0,x
              475000,1,0,x
              485000,0,0,x
              495000,1,1,x
              505000,0,1,x
              515000,1,1,x
              525000,0,1,x
              535000,1,1,x
              545000,0,1,x
              555000,1,1,x
              565000,0,1,x
              575000,1,1,x
              585000,0,1,x
              595000,1,1,x
              605000,0,1,x
              615000,1,1,x
              625000,0,1,x
              635000,1,1,x
              645000,0,1,x
              655000,1,1,x
              665000,0,1,x
              675000,1,1,x
              685000,0,1,x
              695000,1,1,x
              705000,0,1,x
              715000,1,1,x
              725000,0,1,x
              735000,1,0,x
              745000,0,0,x
              755000,1,0,x
              765000,0,0,x
              775000,1,0,x
              785000,0,0,x
              795000,1,0,x
              805000,0,0,x
              815000,1,0,x
              825000,0,0,x
              835000,1,0,x
              845000,0,0,x
              855000,1,0,x
              865000,0,0,x
              875000,1,0,x
              885000,0,0,x
              895000,1,0,x
              905000,0,0,x
              915000,1,0,x
              925000,0,0,x
              935000,1,0,x
              945000,0,0,x
              955000,1,0,x
              965000,0,0,x
              975000,1,0,x
              985000,0,0,x
              995000,1,1,x
             1005000,0,1,0
             1015000,1,1,0
             1025000,0,1,0
             1035000,1,1,0
             1045000,0,1,0
             1055000,1,1,0
             1065000,0,1,0
             1075000,1,1,0
             1085000,0,1,0
             1095000,1,1,0
             1105000,0,1,0
             1115000,1,1,0
             1125000,0,1,0
             1135000,1,1,0
             1145000,0,1,0
             1155000,1,1,0
             1165000,0,1,0
             1175000,1,1,0
             1185000,0,1,0
             1195000,1,1,0
             1205000,0,1,0
             1215000,1,1,0
             1225000,0,1,0
             1235000,1,1,0
             1245000,0,0,0
             1255000,1,0,0
             1265000,0,0,0
             1275000,1,0,0
             1285000,0,0,0
             1295000,1,0,0
             1305000,0,0,0
             1315000,1,0,0
             1325000,0,0,0
             1335000,1,0,0
             1345000,0,0,0
             1355000,1,0,0
             1365000,0,0,0
             1375000,1,0,0
             1385000,0,0,0
             1395000,1,0,0
             1405000,0,0,0
             1415000,1,0,0
             1425000,0,0,0
             1435000,1,0,0
